1/30/16,620.0
AMHERST,989.08
ANDOVER,750.0
Abington,2682.6499999999996
Acton,5196.62
Acushnet,525.0
Agawam,1478.79
Allston,4500.0
Amesbury,3750.0
Amherst,4294.93
Andover,17050.690000000002
Arlington,11449.0
Ashburnham,600.0
Ashland,2991.13
Athol,800.0
Attleboro,900.0
Auburn,9542.68
Auburndale,3695.31
Avon,1500.0
BOSTON,2217.0
BOYLSTON,750.0
Barnstable,2403.11
Barrington,750.0
Bedford,5463.0
Belchertown,1985.6
Bellingham,597.72
Belmont,3689.2
Bernardston,551.05
Beverly,6789.0
Beverly Farms,750.0
Billerica,2811.0
Bolton,1850.0
Bos,588.8
Bosdton,600.0
Boston,241556.80999999994
Bourne,2075.0
Boxborough,750.0
Boxford,1500.0
Braintree,14480.72
Brewster,7245.11
Bridgewater,5174.21
Brighton,4045.0
Brockton,19254.83
Brookline,10807.77
Burlington,2049.0
CAMBRIDGE,750.0
CHARLESTOWN,1285.0
Cambridge,37941.26
Canton,11098.27
Carlisle,2300.0
Centerville,3387.9700000000003
Charlestown,8110.0599999999995
Charlton,1450.0
Chelmsford,3235.05
Chelsea,4312.5
Cherry Valley,555.33
Chestnut Hill,10100.0
Chicopee,5250.0
Cohasset,7050.0
Concord,3613.8900000000003
Cot,1132.0
Cotuit,1500.0
DEDHAM,600.0
Danvers,8300.0
Dartmouth,6075.0
Dedham,3300.0
Deerfield,510.0
Dennis Port,750.0
Dighton,4800.0
Dorchester,48446.06999999999
Dorchester Center,1270.0
Douglas,600.0
Dover,9150.0
Dracut,1376.0
Dudley,1880.81
Duxbury,2250.0
E.Boston,1692.0
East Boston,4494.389999999999
East Bridgewater,2100.0
East Brookfield,600.0
East Falmouth,3299.2
East Longmeadow,11947.5
East Sandwich,1400.0
Easthampton,1599.0
Easton,1350.0
Edgartown,2300.0
Everett,7400.0
Fairhaven,4025.0
Fall River,55730.78
Falmouth,2582.54
Feeding Hills,3550.0
Fiskdale,600.0
Fitchburg,750.0
Florence,2100.0
Forestdale,750.0
Foxboro,1740.0
Foxborough,1150.0
Framingham,16120.2
Franklin,3562.23
Gardner,719.89
Gloucester,10800.61
Grafton,2385.0
Granby,1400.0
Granville,5200.0
Greenfield,750.0
Groveland,1350.44
HINGHAM,800.0
HOLDEN,525.0
Halifax,800.0
Hampden,750.0
Hanover,3800.0
Hanson,550.0
Harwich,1200.0
Haverhill,9720.0
Hingham,8731.0
Holbrook,1764.2
Holden,3225.0
Holyoke,13644.45
Hopedale,2200.0
Hopkinton,3525.0
Hudson,1640.0
Hull,2250.0
Hyannis,2950.0
Hyde Park,2080.0
Ipswich,1350.0
Jamaica Plain,6050.0
Kingston,1900.0
LOWELL,600.0
LYNNFIELD,700.0
LaNcaster,720.37
LaWrence,750.0
Lakeville,1986.3200000000002
Lanesborough,834.89
Lawrence,16580.0
Leicester,1550.0
Lenox,1446.0
Leominster,2532.33
Lexington,7803.1900000000005
Lincoln,2052.49
Londonderry,750.0
Longmeadow,12050.369999999999
Lowell,7551.02
Ludlow,14939.190000000002
Lunenburg,901.4
Lynn,19723.510000000002
Lynnfield,9330.0
MALDEN,750.0
MEDFORD,600.0
MELROSE,700.0
MILLBURY,700.0
Malden,10452.69
Manchester,3000.0
Marblehead,11202.0
Marion,750.0
