,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
4,610U300US25005,25005,Second Hampden & Hampshire ,62509,735,4647,459,4448,518,4200,519,3223,395,2733,316,2514,280,2645,374,2351,336,2743,323,4866,454,5699,529,9091,580,5218,411,3395,377,2935,341,1801,272
7,610U300US25008,25008,"Worcester, Hampden, Hampshire & Middlesex ",62240,732,2992,371,3056,370,2768,387,2704,343,2353,325,2968,344,2525,304,2500,289,2277,311,4782,386,6087,532,9155,611,7048,451,4362,415,4245,412,2418,296
8,610U300US25009,25009,Worcester & Middlesex ,60527,890,3900,467,3387,317,3100,373,2712,330,2504,344,2897,342,2394,323,2288,336,1972,309,4015,435,6534,591,8885,653,5895,458,3675,341,4086,397,2283,238
9,610U300US25010,25010,First Worcester ,63505,786,5167,543,4513,434,3619,399,3135,387,2566,313,2733,332,2647,393,2611,293,2420,284,4125,407,6556,603,6983,482,5176,426,4004,362,3952,414,3298,327
10,610U300US25011,25011,Second Worcester ,63993,807,3048,377,2850,376,2660,352,2754,427,2698,393,2711,424,2228,337,2445,346,2359,367,5088,415,6091,488,8888,635,6640,519,4365,402,5322,405,3846,312
11,610U300US25012,25012,Worcester & Norfolk ,62009,671,2244,355,2457,380,2943,346,2380,370,2544,356,2875,383,2303,371,2359,338,2353,324,4516,425,6621,648,8957,502,6794,528,4345,470,5125,428,3193,409
12,610U300US25013,25013,First Middlesex ,60235,734,4081,416,3420,381,2470,302,2745,375,2375,331,2372,353,2086,339,2198,355,2177,337,4618,457,6024,575,7571,527,5105,434,3885,374,4883,432,4225,330
13,610U300US25014,25014,Middlesex & Worcester ,65476,864,1938,361,2138,344,2215,346,2538,349,2023,328,1803,273,1981,346,2665,403,1698,306,3704,455,5567,552,7975,614,7135,624,5594,466,7397,565,9105,492
16,610U300US25017,25017,"Norfolk, Bristol & Middlesex ",57016,715,1838,263,1775,338,1691,249,1600,339,1353,262,1280,204,1633,273,1681,275,1661,273,3521,465,4549,451,6475,492,6537,523,4728,394,7058,557,9636,549
17,610U300US25018,25018,Second Essex & Middlesex ,60580,768,4390,431,3940,452,3723,342,2598,344,2625,372,2764,389,2011,344,2140,297,1822,274,3576,408,5562,477,7365,471,5405,400,3699,412,4519,441,4441,325
